subject,time_spent,recall_score,previous_interval,next_study_interval
CS,70.42,4.0,1.19,2.97
History,72.9,3.16,1.03,2.46
Chemistry,71.11,3.7,2.23,5.49
CS,61.79,4.04,0.25,1.0
Biology,56.05,2.92,0.38,1.0
Geography,56.97,3.42,0.58,1.41
Chemistry,56.1,3.44,4.47,10.85
Chemistry,82.68,4.33,2.16,5.48
CS,71.87,2.43,0.03,1.0
Physics,1.19,3.45,3.36,8.16
Biology,73.12,5.0,1.65,4.29
CS,63.89,4.66,2.15,5.53
Biology,59.63,4.85,0.72,1.86
Biology,52.23,3.52,2.41,5.88
Geography,82.48,3.82,11.61,28.77
Chemistry,78.95,4.5,0.23,1.0
History,44.54,5.0,1.0,2.6
Geography,68.14,1.55,0.84,1.0
Geography,40.57,2.18,0.86,1.91
Biology,32.41,4.81,1.43,3.7
Literature,47.47,3.22,5.11,12.23
Chemistry,77.25,2.83,7.32,17.07
Physics,79.06,2.25,0.68,1.52
Geography,70.26,2.94,2.35,5.52
History,74.5,2.1,3.04,6.69
Literature,70.32,5.0,2.21,5.75
Literature,47.17,3.48,1.71,4.16
Physics,68.64,3.44,0.64,1.55
Geography,76.01,4.09,2.01,5.05
History,75.09,4.46,1.54,3.93
Chemistry,83.78,4.45,4.76,12.14
Math,74.17,4.57,4.33,11.09
History,67.03,2.87,0.43,1.01
Physics,81.4,3.2,0.28,1.0
Literature,59.47,4.27,7.16,18.12
Chemistry,42.36,2.97,2.3,5.42
History,56.74,3.49,5.85,14.24
Math,45.1,3.9,0.18,1.0
Math,46.5,4.29,2.24,5.67
Biology,57.11,1.72,2.33,1.0
Biology,44.15,4.21,5.91,14.92
CS,53.84,3.27,0.31,1.0
Physics,22.13,4.21,0.83,2.1
Geography,64.27,4.28,1.57,3.98
History,60.02,5.0,6.03,15.68
History,43.66,4.85,8.38,21.68
Geography,73.18,4.85,14.77,38.22
CS,78.75,4.94,9.6,24.91
Literature,27.85,3.79,0.02,1.0
Literature,44.75,3.53,0.15,1.0
CS,44.62,4.37,0.48,1.22
Literature,41.2,4.23,1.29,3.26
Biology,76.59,3.19,5.31,12.69
History,56.12,3.9,6.7,16.67
CS,54.71,3.46,0.62,1.51
History,19.92,2.65,2.9,6.67
Geography,72.71,4.79,7.48,19.32
Math,35.21,3.56,1.87,4.57
Biology,61.2,5.0,0.33,1.0
Chemistry,65.55,1.87,1.84,1.0
Biology,87.21,2.94,1.41,3.31
CS,33.82,3.53,2.59,6.32
Chemistry,-0.39,4.64,1.73,4.44
Math,63.68,3.9,0.05,1.0
CS,96.01,3.81,15.35,38.01
Physics,84.78,2.37,2.35,5.29
History,64.19,2.34,1.93,4.33
Math,50.17,3.82,9.28,22.99
History,76.14,2.14,0.51,1.13
Literature,40.53,2.97,0.63,1.48
Physics,69.53,4.0,4.95,12.38
Physics,70.11,2.52,0.91,2.07
Math,81.2,5.0,4.82,12.53
Physics,115.19,4.72,0.95,2.45
Chemistry,67.85,1.93,0.1,1.0
Physics,49.82,2.57,2.18,4.99
History,59.49,1.21,0.66,1.0
History,24.62,2.72,4.25,9.83
CS,46.11,4.27,3.07,7.77
History,51.81,3.09,7.72,18.33
CS,49.52,3.96,4.58,11.43
History,63.05,1.98,0.6,1.0
Chemistry,43.55,4.3,4.83,12.24
Geography,82.42,2.94,3.08,7.24
CS,60.0,3.51,3.32,8.09
Biology,59.81,3.41,5.36,12.98
Literature,53.44,2.23,2.56,5.7
Math,63.1,2.35,1.88,4.23
History,76.5,4.47,3.04,7.76
Physics,42.66,3.9,1.06,2.64
Geography,46.84,4.55,0.6,1.54
History,53.93,3.82,2.88,7.14
Physics,33.08,3.64,0.8,1.96
Literature,43.61,1.77,0.25,1.0
Literature,50.48,3.23,0.0,1.0
Literature,77.49,3.47,2.81,6.83
Physics,65.25,5.0,1.35,3.51
History,63.87,4.19,4.19,10.57
Literature,77.02,5.0,1.41,3.67
Chemistry,57.25,4.1,2.0,5.02
CS,67.81,2.79,1.57,3.65
Physics,57.94,3.62,3.15,7.72
Physics,65.31,3.74,1.32,3.26
History,48.34,2.56,9.95,22.74
Physics,11.22,3.12,8.25,19.63
Physics,57.31,3.29,5.65,13.59
Literature,88.45,5.0,7.59,19.73
History,78.52,1.42,1.79,1.0
Literature,79.31,4.71,2.31,5.95
CS,84.72,2.56,4.07,9.3
Geography,61.77,2.13,3.57,7.87
CS,63.95,4.68,6.64,17.08
Geography,47.65,4.23,3.78,9.55
Literature,53.68,4.75,18.48,47.66
CS,72.32,4.3,1.29,3.27
History,84.08,5.0,5.37,13.96
Math,57.21,4.06,3.59,9.0
Literature,51.0,3.34,3.53,8.51
Geography,60.01,3.84,1.18,2.93
Chemistry,72.02,4.74,4.62,11.91
Geography,31.12,2.72,6.92,16.01
Chemistry,14.08,2.85,0.74,1.73
Physics,48.99,3.19,2.95,7.05
CS,35.59,1.4,1.49,1.0
Chemistry,49.84,3.64,13.68,33.57
Geography,57.04,1.61,1.96,1.0
Physics,50.94,3.55,0.78,1.9
Math,89.05,4.37,1.44,3.66
History,66.53,3.02,3.18,7.51
History,66.01,5.0,0.24,1.0
History,72.44,2.04,2.78,6.08
Chemistry,37.22,4.69,8.03,20.66
Math,80.78,4.18,5.7,14.37
Chemistry,58.48,1.78,0.21,1.0
CS,73.41,5.0,15.06,39.16
Chemistry,38.56,3.44,3.6,8.74
Math,28.92,2.62,0.53,1.22
Math,76.36,2.09,0.04,1.0
CS,67.53,3.28,0.56,1.35
Math,41.96,3.37,5.46,13.19
Geography,42.61,3.6,0.07,1.0
Math,82.51,3.2,0.8,1.91
History,36.21,4.13,4.25,10.69
Geography,92.85,3.11,2.65,6.3
Geography,41.99,1.57,4.58,1.0
CS,72.77,3.35,4.11,9.92
Biology,53.43,1.13,0.16,1.0
Biology,72.06,3.85,6.69,16.6
Math,49.12,2.52,0.77,1.75
Geography,56.74,3.66,2.42,5.95
Biology,60.82,4.81,3.1,8.01
Biology,39.96,2.55,0.55,1.26
Math,74.82,4.56,11.22,28.73
Biology,49.74,3.07,2.01,4.77
Chemistry,55.43,5.0,0.18,1.0
Physics,40.11,3.13,8.31,19.78
CS,8.75,2.66,2.65,6.1
Physics,56.18,4.19,3.6,9.08
Math,108.25,3.06,2.23,5.28
History,75.69,2.66,5.4,12.44
CS,59.61,3.02,0.1,1.0
Math,54.74,3.46,0.94,2.28
Geography,60.45,4.84,1.9,4.91
History,70.94,1.57,0.24,1.0
Physics,36.38,3.52,3.67,8.95
Math,82.29,4.12,1.5,3.77
Geography,74.31,3.69,0.96,2.36
CS,74.36,4.81,0.01,1.0
CS,68.77,3.43,3.82,9.26
Literature,60.39,3.32,5.38,12.96
Geography,73.46,4.09,1.51,3.79
Chemistry,71.84,3.6,2.49,6.1
Biology,52.92,3.11,0.78,1.85
History,48.53,4.02,2.92,7.31
Geography,62.04,2.85,0.04,1.0
Literature,90.98,2.89,2.01,4.71
Biology,35.22,2.97,3.1,7.3
Biology,30.65,4.85,7.51,19.43
Math,63.3,1.0,1.44,1.0
Biology,61.02,3.9,4.35,10.82
Chemistry,63.47,3.53,2.73,6.66
CS,64.88,1.82,7.85,1.0
Literature,55.54,3.81,1.52,3.76
Biology,89.8,3.98,1.15,2.87
Math,27.98,4.09,6.54,16.42
Chemistry,43.43,1.0,0.15,1.0
Physics,57.93,4.87,0.44,1.14
CS,27.14,2.76,0.26,1.0
CS,56.48,4.19,5.56,14.02
Literature,93.23,4.24,0.03,1.0
CS,60.42,2.62,5.93,13.62
Biology,64.61,4.16,1.8,4.53
Math,34.8,3.11,0.01,1.0
CS,47.67,1.43,1.54,1.0
CS,52.5,4.67,0.62,1.59
Physics,53.65,2.72,2.94,6.8
Physics,85.63,2.65,3.41,7.85
History,71.15,3.1,2.01,4.78
Chemistry,37.77,3.77,0.12,1.0
Biology,64.93,3.44,3.2,7.76
CS,69.96,4.05,5.54,13.88
Geography,82.8,2.16,3.82,8.45
CS,91.61,2.76,5.32,12.34
Math,39.7,3.38,0.67,1.62
History,43.78,5.0,6.59,17.13
Chemistry,34.85,3.39,1.17,2.83
Geography,55.32,4.59,0.04,1.0
History,69.33,3.54,5.56,13.57
Literature,79.75,3.02,8.53,20.16
Chemistry,58.48,3.25,3.2,7.68
CS,53.6,3.33,0.79,1.9
CS,63.04,4.1,0.87,2.19
Chemistry,43.3,4.87,1.89,4.89
CS,101.79,3.86,6.84,16.98
Biology,27.85,4.69,0.49,1.26
Chemistry,63.69,2.54,5.25,11.98
History,100.47,3.09,1.03,2.45
Chemistry,60.14,2.78,4.96,11.53
Geography,56.2,3.81,7.59,18.8
